age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,poutcome,deposit
45,technician,divorced,tertiary,no,-1,yes,no,cellular,aug,253,5,0,unknown,no
58,housemaid,married,primary,no,1447,yes,yes,cellular,jul,1218,2,0,unknown,no
24,student,single,secondary,no,9139,no,no,cellular,jun,455,2,0,unknown,no
60,retired,married,secondary,no,-208,no,no,cellular,aug,132,3,0,unknown,no
46,admin.,married,secondary,no,46,yes,no,cellular,mar,216,2,0,unknown,yes
27,admin.,single,secondary,no,-149,yes,yes,cellular,may,425,1,0,unknown,yes
59,admin.,married,secondary,no,1342,no,no,unknown,jun,328,1,0,unknown,no
29,unemployed,married,tertiary,no,670,no,no,cellular,jul,261,1,1,success,yes
33,admin.,single,tertiary,no,540,yes,no,cellular,may,23,1,2,failure,no
48,blue-collar,married,secondary,no,-6,yes,no,unknown,may,380,2,0,unknown,no
65,housemaid,married,primary,no,714,no,no,cellular,mar,364,1,0,unknown,yes
29,self-employed,single,tertiary,no,401,no,yes,cellular,jul,331,1,0,unknown,no
91,retired,divorced,secondary,no,19,no,no,cellular,feb,132,3,0,unknown,yes
47,admin.,married,secondary,no,294,yes,no,cellular,may,174,1,0,unknown,no
34,management,married,tertiary,no,3345,no,no,cellular,jun,73,2,0,unknown,no
43,unemployed,married,secondary,no,-29,yes,yes,cellular,sep,178,2,13,failure,yes
30,unemployed,single,secondary,no,1364,no,no,cellular,feb,980,1,0,unknown,yes
55,blue-collar,divorced,unknown,no,192,yes,no,cellular,jul,763,3,0,unknown,no
42,blue-collar,married,secondary,no,251,yes,no,cellular,feb,448,2,2,success,yes
43,management,single,tertiary,no,2002,yes,no,unknown,may,763,1,0,unknown,yes
60,admin.,married,secondary,no,13023,no,no,cellular,mar,105,1,0,unknown,yes
38,admin.,single,secondary,no,365,no,no,cellular,feb,145,1,2,other,yes
57,management,divorced,tertiary,no,2064,no,no,cellular,may,172,1,5,success,no
43,blue-collar,married,primary,no,3166,yes,no,unknown,jun,438,3,0,unknown,no
32,services,single,secondary,no,572,yes,no,cellular,apr,4,6,0,unknown,no
54,technician,married,secondary,no,2269,yes,no,cellular,apr,574,1,2,failure,yes
44,blue-collar,married,secondary,no,2355,no,no,cellular,sep,267,1,1,success,yes
36,blue-collar,married,primary,no,572,yes,no,unknown,may,277,1,0,unknown,no
61,retired,married,tertiary,no,2530,yes,no,cellular,sep,220,1,7,success,yes
46,services,divorced,secondary,no,552,yes,yes,cellular,apr,250,4,4,failure,no
35,services,single,secondary,no,106,yes,no,cellular,may,1042,4,0,unknown,yes
62,self-employed,married,tertiary,no,11068,no,no,cellular,jul,332,2,3,success,yes
33,management,divorced,tertiary,no,1237,no,yes,cellular,jul,88,1,0,unknown,no
49,management,married,tertiary,no,362,no,yes,cellular,jul,203,4,0,unknown,no
26,management,single,tertiary,no,566,yes,no,cellular,may,75,4,5,other,no
37,management,divorced,tertiary,no,413,yes,no,unknown,may,139,4,0,unknown,no
37,management,single,tertiary,no,557,no,no,cellular,jun,278,4,4,other,yes
31,management,single,tertiary,no,3638,yes,no,unknown,may,103,1,0,unknown,no
22,student,single,secondary,no,994,no,no,telephone,feb,195,1,3,success,yes
56,technician,married,unknown,no,1574,yes,no,unknown,may,119,2,0,unknown,no
48,retired,married,secondary,no,87,yes,no,cellular,aug,296,5,0,unknown,no
28,student,single,secondary,no,1228,yes,no,cellular,may,706,2,0,unknown,yes
41,blue-collar,married,primary,no,155,yes,no,cellular,feb,172,1,0,unknown,yes
44,management,divorced,tertiary,no,3880,yes,no,unknown,may,42,2,0,unknown,no
73,retired,married,tertiary,no,561,no,no,cellular,mar,110,1,0,unknown,yes
23,student,single,secondary,no,842,no,no,cellular,jul,583,3,3,other,yes
28,technician,single,tertiary,no,1758,no,no,cellular,feb,286,1,0,unknown,yes
33,blue-collar,married,secondary,no,821,yes,no,cellular,apr,637,2,0,unknown,yes
26,student,single,unknown,no,555,no,no,telephone,apr,629,2,0,unknown,yes
38,blue-collar,married,primary,no,307,yes,no,unknown,may,95,5,0,unknown,no
54,management,married,tertiary,no,6450,yes,no,cellular,nov,145,1,3,failure,no
31,technician,single,tertiary,no,-62,yes,no,cellular,may,114,3,0,unknown,no
33,admin.,single,secondary,no,318,yes,no,cellular,apr,692,1,0,unknown,yes
34,management,married,secondary,no,478,no,no,cellular,aug,886,3,4,failure,yes
39,technician,divorced,secondary,no,499,no,no,cellular,aug,170,4,0,unknown,no
23,student,single,secondary,no,1016,no,no,cellular,nov,259,1,0,unknown,yes
41,blue-collar,married,primary,no,-47,yes,no,cellular,may,181,3,0,unknown,no
45,admin.,married,secondary,no,-166,no,yes,telephone,jul,174,12,0,unknown,no
54,technician,married,secondary,no,-281,no,no,telephone,nov,984,1,8,failure,no
28,technician,single,tertiary,no,11411,no,no,telephone,may,279,5,1,success,no
45,blue-collar,married,primary,no,925,yes,yes,cellular,may,499,2,58,other,yes
31,management,single,tertiary,no,42,yes,no,cellular,aug,127,4,0,unknown,no
36,technician,single,secondary,no,-217,yes,no,cellular,may,658,3,0,unknown,yes
56,retired,married,secondary,no,736,no,yes,cellular,jul,192,1,2,failure,yes
30,management,divorced,tertiary,no,450,yes,yes,cellular,may,970,1,4,failure,yes
30,technician,married,secondary,no,379,no,no,cellular,feb,2752,2,0,unknown,yes
54,blue-collar,married,secondary,no,970,yes,no,unknown,may,207,2,0,unknown,no
51,housemaid,married,primary,no,227,no,no,cellular,aug,134,1,0,unknown,no
37,management,married,tertiary,no,1067,no,no,cellular,apr,187,1,0,unknown,yes
46,blue-collar,married,secondary,no,1158,no,no,cellular,nov,224,3,2,failure,no
59,retired,married,primary,no,1565,yes,no,unknown,may,592,2,0,unknown,no
26,services,married,secondary,no,112,yes,no,unknown,may,133,1,0,unknown,no
26,admin.,single,secondary,no,98,no,no,cellular,apr,429,1,1,success,yes
41,management,divorced,tertiary,no,1055,no,no,cellular,oct,214,2,0,unknown,yes
56,retired,divorced,tertiary,no,13147,no,no,cellular,may,1058,1,0,unknown,yes
33,technician,single,tertiary,no,330,yes,no,cellular,jul,91,3,0,unknown,no
48,management,single,tertiary,no,376,yes,no,cellular,sep,583,2,12,success,yes
49,services,divorced,secondary,no,-211,yes,yes,cellular,may,671,1,0,unknown,yes
32,management,single,tertiary,no,304,no,no,cellular,nov,70,2,0,unknown,no
30,admin.,married,tertiary,no,320,no,no,cellular,feb,690,2,0,unknown,no
45,unemployed,married,secondary,no,639,yes,no,unknown,jan,101,1,0,unknown,yes
46,services,married,tertiary,no,2310,yes,no,cellular,nov,145,1,0,unknown,no
50,management,married,tertiary,no,544,no,no,cellular,jun,172,1,0,unknown,yes
40,housemaid,married,primary,no,295,yes,no,cellular,jul,376,3,0,unknown,no
54,retired,single,primary,no,678,no,no,unknown,jun,32,2,0,unknown,no
34,admin.,single,secondary,no,150,yes,no,cellular,may,233,4,1,failure,no
79,retired,married,secondary,no,8499,no,no,telephone,jun,710,1,12,failure,yes
56,blue-collar,married,secondary,no,1607,yes,no,cellular,nov,546,1,0,unknown,yes
36,admin.,married,tertiary,no,517,yes,yes,cellular,oct,124,1,0,unknown,no
38,technician,married,secondary,no,-161,yes,no,cellular,nov,56,5,1,success,no
31,self-employed,married,tertiary,no,234,no,no,cellular,feb,164,2,0,unknown,yes
26,blue-collar,single,tertiary,no,779,no,no,cellular,dec,351,1,0,unknown,yes
37,management,married,tertiary,no,-706,yes,no,cellular,feb,55,2,0,unknown,no
41,technician,divorced,secondary,no,1644,yes,no,cellular,aug,168,2,0,unknown,no
33,self-employed,divorced,tertiary,no,638,no,yes,cellular,nov,140,1,0,unknown,no
28,technician,single,tertiary,no,3726,no,no,cellular,mar,260,1,0,unknown,yes
36,services,divorced,secondary,no,230,yes,no,cellular,may,183,1,1,failure,no
27,management,single,secondary,no,258,yes,no,cellular,feb,127,2,0,unknown,no
41,blue-collar,married,primary,no,7836,yes,no,cellular,apr,173,1,2,failure,no
42,housemaid,single,secondary,no,431,no,no,telephone,jan,37,1,0,unknown,no
41,blue-collar,married,primary,no,-98,yes,yes,unknown,may,231,1,0,unknown,no
35,management,married,secondary,no,445,no,no,cellular,aug,216,12,0,unknown,no
27,blue-collar,single,primary,no,502,yes,no,unknown,may,298,2,0,unknown,no
56,services,divorced,secondary,no,-423,yes,no,unknown,may,115,1,0,unknown,no
36,admin.,divorced,tertiary,no,-16,yes,no,unknown,may,174,1,0,unknown,no
48,technician,married,primary,no,326,no,no,cellular,mar,144,2,1,other,yes
30,services,married,secondary,no,1753,yes,no,cellular,may,85,2,0,unknown,no
49,technician,divorced,secondary,no,296,no,no,unknown,jun,742,2,0,unknown,yes
78,retired,divorced,secondary,no,3331,no,no,cellular,feb,132,1,0,unknown,yes
73,retired,married,unknown,no,630,no,no,telephone,feb,282,3,2,success,yes
53,technician,married,tertiary,no,549,yes,no,cellular,jul,180,1,0,unknown,no
42,technician,single,tertiary,no,2,yes,yes,cellular,nov,31,1,5,other,no
37,blue-collar,married,primary,no,715,yes,no,unknown,may,642,2,0,unknown,yes
44,services,married,secondary,no,3691,no,no,cellular,jul,116,6,0,unknown,no
41,management,married,tertiary,no,2684,no,no,cellular,nov,197,2,0,unknown,yes
51,management,married,tertiary,no,2571,yes,no,cellular,jul,564,1,0,unknown,yes
38,admin.,divorced,tertiary,no,65,no,no,cellular,jul,195,1,0,unknown,no
58,housemaid,divorced,primary,no,-114,no,no,unknown,jun,83,1,0,unknown,no
54,management,married,tertiary,no,1246,yes,no,cellular,nov,1191,2,1,other,no
37,blue-collar,married,secondary,yes,-401,yes,yes,unknown,jun,21,3,0,unknown,no
35,technician,married,secondary,no,2054,no,no,telephone,apr,370,1,0,unknown,yes
37,management,married,tertiary,no,3048,yes,no,cellular,may,225,1,10,success,yes
54,blue-collar,married,secondary,no,2821,yes,no,cellular,may,332,1,0,unknown,no
34,admin.,single,tertiary,no,74,yes,no,cellular,sep,277,2,3,success,yes
36,entrepreneur,married,secondary,no,632,no,no,cellular,feb,306,3,0,unknown,no
38,management,married,tertiary,no,151,yes,no,unknown,may,582,4,0,unknown,yes
36,management,married,tertiary,no,915,no,no,cellular,nov,174,1,0,unknown,no
28,blue-collar,married,secondary,no,1223,no,no,cellular,feb,148,4,3,other,no
37,technician,married,secondary,no,78,yes,no,cellular,apr,665,4,1,other,no
47,management,married,secondary,no,643,yes,no,cellular,may,108,6,0,unknown,no
36,technician,married,unknown,no,473,no,no,cellular,oct,247,1,2,success,yes
31,management,single,tertiary,no,4272,no,no,cellular,aug,1314,9,0,unknown,yes
49,management,married,tertiary,no,5323,yes,no,cellular,dec,371,1,2,failure,yes
33,management,married,tertiary,no,636,yes,no,cellular,aug,274,5,0,unknown,no
51,blue-collar,married,unknown,no,108,yes,no,telephone,may,2,4,0,unknown,no
55,entrepreneur,married,tertiary,no,-90,yes,no,unknown,may,370,5,0,unknown,no
70,retired,married,secondary,no,2057,no,no,cellular,oct,333,1,0,unknown,no
31,blue-collar,married,secondary,no,-235,yes,yes,cellular,may,296,3,0,unknown,no
30,services,single,secondary,no,-218,yes,no,cellular,may,433,1,2,failure,yes
32,management,single,tertiary,no,182,yes,no,cellular,may,452,1,1,other,no
43,blue-collar,single,primary,no,11270,no,no,unknown,jun,259,18,0,unknown,no
37,entrepreneur,married,tertiary,no,4739,yes,no,unknown,may,173,2,0,unknown,no
48,technician,married,unknown,no,-159,yes,no,unknown,may,338,4,0,unknown,no
66,retired,married,tertiary,no,2121,no,no,cellular,oct,118,2,2,failure,yes
30,management,single,tertiary,no,519,yes,no,cellular,aug,670,2,0,unknown,no
34,management,married,tertiary,no,43,no,no,cellular,nov,84,1,2,failure,no
39,management,married,tertiary,no,2559,yes,no,cellular,jul,556,1,2,success,yes
57,management,married,tertiary,no,9087,no,yes,unknown,jun,1127,2,0,unknown,yes
28,admin.,single,secondary,no,170,no,no,cellular,jun,347,1,0,unknown,yes
38,services,married,secondary,no,6195,yes,no,cellular,may,621,2,0,unknown,yes
33,management,married,tertiary,no,520,no,no,cellular,aug,913,5,0,unknown,no
36,management,divorced,tertiary,no,2002,yes,no,cellular,jul,839,1,0,unknown,yes
50,blue-collar,married,primary,no,-8,no,yes,cellular,jul,287,1,0,unknown,no
26,student,single,unknown,no,886,no,no,cellular,jan,169,1,0,unknown,no
51,management,married,tertiary,no,176,no,no,unknown,jun,312,1,0,unknown,yes
42,services,married,secondary,no,245,yes,no,telephone,may,333,5,1,other,no
37,blue-collar,married,secondary,no,3876,yes,no,cellular,apr,21,5,0,unknown,no
32,management,divorced,tertiary,no,688,yes,no,cellular,dec,769,1,5,other,yes
32,blue-collar,married,primary,no,384,yes,no,unknown,may,145,3,0,unknown,no
51,admin.,married,secondary,no,4238,yes,no,unknown,may,539,1,0,unknown,no
29,management,single,tertiary,no,3091,no,no,cellular,aug,93,4,0,unknown,no
55,unemployed,married,primary,no,1512,no,yes,cellular,jul,94,1,0,unknown,no
61,retired,divorced,tertiary,no,75,yes,no,cellular,dec,418,1,5,failure,yes
57,self-employed,married,secondary,no,9988,no,no,cellular,jul,412,1,0,unknown,no
59,retired,divorced,tertiary,no,3497,no,no,cellular,aug,258,1,2,success,yes
27,student,single,tertiary,no,5135,yes,no,cellular,may,414,1,2,failure,yes
31,services,single,secondary,no,214,yes,no,cellular,may,188,2,0,unknown,no
26,services,single,secondary,no,4829,yes,no,unknown,may,1299,3,0,unknown,yes
42,admin.,single,secondary,no,56561,no,no,unknown,may,235,1,0,unknown,no
48,blue-collar,married,primary,no,214,no,no,cellular,may,339,3,8,failure,no
44,entrepreneur,married,tertiary,no,1694,yes,no,cellular,nov,81,1,2,failure,no
72,retired,divorced,unknown,no,499,no,no,telephone,jul,264,2,0,unknown,yes
42,admin.,married,secondary,no,385,yes,no,unknown,may,144,2,0,unknown,no
42,admin.,single,secondary,no,51,no,no,telephone,nov,202,1,0,unknown,no
50,management,married,tertiary,no,60,yes,no,cellular,nov,52,2,0,unknown,no
45,admin.,married,secondary,no,826,yes,yes,unknown,may,618,3,0,unknown,yes
40,admin.,married,primary,no,269,yes,no,unknown,may,165,2,0,unknown,no
47,technician,married,secondary,no,124,no,no,cellular,mar,516,1,0,unknown,yes
37,management,married,tertiary,no,119,no,yes,cellular,jul,251,6,0,unknown,no
25,technician,single,tertiary,no,1192,no,no,cellular,aug,261,2,0,unknown,yes
57,management,married,tertiary,no,-143,no,no,cellular,jun,278,2,1,success,yes
40,blue-collar,married,primary,no,873,yes,no,unknown,jun,308,2,0,unknown,no
47,blue-collar,married,primary,no,151,no,no,cellular,aug,75,6,0,unknown,no
35,management,married,secondary,no,879,yes,no,cellular,jul,256,2,0,unknown,no
39,technician,single,secondary,no,570,yes,no,unknown,may,332,1,0,unknown,no
42,blue-collar,married,unknown,no,512,yes,no,cellular,may,12,6,0,unknown,no
36,management,divorced,tertiary,no,941,yes,yes,cellular,aug,239,5,0,unknown,no
28,technician,single,tertiary,no,5234,no,no,cellular,feb,249,21,0,unknown,yes
28,management,married,tertiary,no,147,yes,no,cellular,jul,600,6,0,unknown,no
37,self-employed,divorced,tertiary,no,1551,no,no,unknown,may,510,1,0,unknown,no
39,blue-collar,married,secondary,no,1707,yes,no,cellular,aug,367,1,2,success,yes
38,technician,single,tertiary,no,-98,yes,no,cellular,jun,227,2,0,unknown,yes
39,blue-collar,divorced,secondary,no,1733,yes,no,unknown,jun,9,28,0,unknown,no
57,retired,divorced,primary,yes,-18,no,yes,cellular,jul,139,2,0,unknown,no
32,technician,married,secondary,no,3062,no,no,cellular,feb,359,1,1,other,yes
26,admin.,single,secondary,no,231,yes,no,unknown,may,324,2,0,unknown,no
39,technician,married,tertiary,no,1130,yes,no,cellular,may,361,2,0,unknown,no
55,technician,married,tertiary,no,1223,no,no,cellular,apr,394,2,0,unknown,yes
40,management,single,unknown,no,751,yes,no,unknown,may,626,3,0,unknown,no
43,admin.,single,secondary,no,831,yes,no,cellular,nov,1085,3,0,unknown,yes
34,admin.,single,secondary,no,1625,yes,no,unknown,may,203,2,0,unknown,no
43,unemployed,married,tertiary,no,-22,no,no,cellular,jul,761,1,1,failure,yes
31,technician,single,unknown,no,575,yes,no,unknown,may,396,2,0,unknown,no
25,student,single,tertiary,no,516,yes,no,cellular,may,34,1,0,unknown,no
52,self-employed,married,secondary,no,149,no,yes,cellular,nov,101,1,3,failure,no
56,unemployed,married,secondary,no,849,no,no,cellular,feb,334,4,0,unknown,no
34,management,married,tertiary,no,17,yes,yes,cellular,feb,157,1,0,unknown,no
51,blue-collar,married,primary,no,221,yes,no,cellular,apr,678,3,3,failure,no
53,admin.,divorced,secondary,no,-606,yes,no,unknown,may,114,1,0,unknown,no
48,management,married,tertiary,no,171,yes,no,unknown,may,361,2,0,unknown,no
27,management,single,tertiary,no,1244,no,no,cellular,sep,768,1,0,unknown,yes
32,management,married,tertiary,no,329,yes,no,cellular,jul,28,24,0,unknown,no
28,blue-collar,married,primary,no,-249,yes,no,unknown,may,357,2,0,unknown,no
28,admin.,married,secondary,no,7644,yes,no,cellular,apr,935,2,2,failure,yes
50,entrepreneur,divorced,tertiary,no,157,no,no,cellular,jul,248,5,0,unknown,no
31,technician,single,secondary,no,739,yes,no,unknown,may,709,3,0,unknown,yes
52,blue-collar,married,primary,no,320,yes,no,cellular,may,187,2,2,failure,no
27,self-employed,single,tertiary,no,3469,no,no,cellular,jun,199,2,0,unknown,yes
53,management,married,tertiary,no,133,no,no,cellular,aug,227,2,0,unknown,no
25,services,divorced,primary,no,513,yes,no,unknown,may,333,2,0,unknown,no
54,retired,married,secondary,no,183,yes,no,unknown,jun,14,6,0,unknown,no
56,management,divorced,tertiary,no,3877,yes,no,cellular,jul,38,1,0,unknown,no
43,technician,single,unknown,no,11213,no,no,cellular,oct,493,1,2,success,yes
33,blue-collar,married,primary,no,-374,yes,yes,unknown,may,852,4,0,unknown,no
37,management,married,tertiary,no,5327,no,no,telephone,feb,482,4,0,unknown,yes
28,management,single,tertiary,no,1117,no,no,cellular,jan,258,2,0,unknown,no
58,retired,married,primary,no,606,no,no,telephone,oct,193,1,1,success,yes
50,entrepreneur,married,tertiary,no,-1,no,no,telephone,jul,1088,4,0,unknown,yes
46,blue-collar,married,secondary,no,813,yes,no,cellular,mar,226,1,4,success,yes
48,management,divorced,unknown,no,550,yes,no,unknown,may,440,1,0,unknown,no
41,self-employed,married,tertiary,no,297,no,no,cellular,aug,336,2,0,unknown,yes
57,entrepreneur,married,secondary,no,814,no,no,cellular,aug,119,1,0,unknown,no
56,blue-collar,married,primary,no,801,yes,no,cellular,jul,833,1,0,unknown,no
44,services,divorced,secondary,no,-348,yes,yes,unknown,jun,43,1,0,unknown,no
55,entrepreneur,married,secondary,no,227,yes,no,unknown,jun,182,1,0,unknown,no
63,entrepreneur,married,tertiary,no,2797,no,no,telephone,nov,70,4,0,unknown,no
56,admin.,married,secondary,no,186,yes,yes,cellular,jul,100,2,0,unknown,no
49,entrepreneur,single,secondary,no,279,no,no,unknown,feb,280,1,0,unknown,yes
53,services,married,secondary,no,394,yes,no,telephone,jul,269,5,0,unknown,no
38,blue-collar,married,secondary,no,2606,yes,no,cellular,apr,425,1,0,unknown,no
54,admin.,divorced,secondary,no,1694,no,no,cellular,apr,1325,1,2,other,yes
27,blue-collar,single,secondary,no,3878,no,no,cellular,apr,328,2,0,unknown,yes
26,student,single,secondary,no,181,no,no,telephone,nov,244,1,0,unknown,yes
31,admin.,single,secondary,no,186,yes,no,cellular,apr,231,2,11,other,no
44,admin.,married,secondary,no,39,no,no,cellular,aug,125,10,0,unknown,no
49,blue-collar,married,primary,no,6279,yes,no,cellular,may,543,1,0,unknown,no
28,services,single,secondary,no,453,yes,no,cellular,feb,369,3,0,unknown,no
39,unemployed,single,secondary,no,2704,yes,no,unknown,may,357,3,0,unknown,no
56,unknown,married,secondary,no,1976,no,no,cellular,may,245,1,4,success,yes
49,self-employed,divorced,tertiary,no,-171,yes,no,cellular,apr,67,1,0,unknown,yes
31,management,single,tertiary,no,2839,yes,no,cellular,may,876,3,0,unknown,yes
55,blue-collar,married,primary,no,1091,yes,no,telephone,may,454,4,0,unknown,yes
26,management,single,secondary,no,1313,yes,no,cellular,jul,347,2,0,unknown,no
61,management,married,tertiary,no,3645,no,no,cellular,mar,207,1,2,success,yes
46,blue-collar,married,secondary,no,80,yes,no,unknown,may,105,2,0,unknown,no
52,blue-collar,married,unknown,no,69,yes,no,telephone,may,16,4,0,unknown,no
47,retired,married,primary,no,1409,no,yes,telephone,may,497,2,3,failure,yes
41,self-employed,married,tertiary,no,1095,no,no,cellular,aug,567,5,0,unknown,yes
49,entrepreneur,divorced,unknown,yes,-958,yes,no,cellular,jul,992,2,0,unknown,yes
45,blue-collar,married,secondary,no,166,yes,no,cellular,may,98,1,3,failure,no
28,student,single,secondary,no,1969,no,no,telephone,oct,181,1,0,unknown,yes
32,services,married,secondary,no,72,yes,no,cellular,jul,733,2,0,unknown,no
29,self-employed,single,secondary,no,846,yes,no,cellular,may,219,1,0,unknown,no
30,technician,married,tertiary,no,115,no,yes,cellular,nov,405,1,6,other,yes
47,management,divorced,tertiary,no,64,no,no,unknown,may,235,1,0,unknown,no
53,technician,married,tertiary,no,8902,no,no,cellular,apr,173,1,0,unknown,yes
77,retired,married,secondary,no,2197,no,no,telephone,feb,136,4,0,unknown,no
46,management,married,secondary,no,5915,no,no,unknown,jun,487,1,0,unknown,no
32,management,single,tertiary,no,121,no,no,cellular,jan,82,1,3,success,no
41,management,married,tertiary,no,3921,yes,no,cellular,may,30,5,2,failure,no
31,blue-collar,married,secondary,no,4361,yes,no,unknown,may,302,2,0,unknown,no
32,management,married,tertiary,no,110,no,no,unknown,may,260,1,0,unknown,no
26,technician,single,secondary,no,996,yes,no,cellular,sep,418,1,3,other,yes
30,technician,married,secondary,no,451,no,no,cellular,aug,61,3,0,unknown,no
38,technician,married,secondary,no,699,yes,no,cellular,nov,272,1,2,other,no
44,management,married,tertiary,no,17415,no,no,unknown,jun,477,1,0,unknown,no
48,blue-collar,married,primary,no,-177,no,yes,telephone,jul,74,1,0,unknown,no
31,technician,single,secondary,no,363,no,no,unknown,sep,2,1,0,unknown,no
43,management,divorced,tertiary,no,2310,no,no,cellular,sep,104,1,3,success,yes
57,unemployed,married,secondary,no,1061,no,no,cellular,feb,349,4,0,unknown,no
38,technician,single,tertiary,no,10,no,no,cellular,aug,249,2,0,unknown,no
37,admin.,married,secondary,no,1120,yes,no,cellular,nov,1781,2,0,unknown,yes
54,self-employed,married,secondary,no,232,yes,no,telephone,jul,233,8,0,unknown,no
36,technician,divorced,secondary,no,94,no,no,cellular,aug,1234,3,0,unknown,yes
34,management,married,tertiary,no,-102,no,no,cellular,aug,130,2,0,unknown,no
35,technician,single,tertiary,no,1053,yes,no,cellular,aug,94,1,3,failure,no
56,entrepreneur,married,unknown,no,925,yes,yes,cellular,jul,241,4,0,unknown,no
35,admin.,single,tertiary,no,122,yes,no,cellular,jul,76,2,0,unknown,no
29,blue-collar,married,secondary,no,122,yes,no,unknown,may,272,1,0,unknown,no
24,blue-collar,single,secondary,no,564,yes,no,unknown,jun,168,1,0,unknown,no
31,management,married,tertiary,no,475,yes,no,cellular,may,113,2,1,failure,no
40,blue-collar,married,secondary,no,262,no,no,unknown,jun,72,2,0,unknown,no
31,blue-collar,single,unknown,yes,38,yes,no,cellular,may,80,1,0,unknown,no
29,unknown,single,unknown,no,195,no,no,cellular,oct,487,1,1,success,yes
34,management,single,tertiary,no,223,yes,no,cellular,may,195,1,1,failure,no
22,student,single,secondary,no,2023,no,no,telephone,feb,165,1,0,unknown,no
53,unemployed,married,secondary,no,1188,no,no,cellular,mar,443,2,1,success,yes
36,technician,single,secondary,no,251,yes,no,cellular,nov,53,4,3,failure,no
52,services,married,secondary,no,667,yes,no,cellular,jan,371,1,2,success,yes
54,technician,married,primary,no,3217,yes,no,telephone,jul,237,3,0,unknown,no
32,services,married,primary,no,1184,yes,no,cellular,feb,265,1,3,failure,no
48,unemployed,married,secondary,no,653,no,no,cellular,jan,498,1,4,success,yes
53,admin.,divorced,secondary,no,240,no,yes,cellular,nov,573,1,0,unknown,no
41,blue-collar,married,secondary,no,293,yes,no,cellular,may,62,3,11,failure,no
37,entrepreneur,married,secondary,no,-122,yes,no,unknown,may,29,1,0,unknown,no
29,technician,married,secondary,no,925,yes,no,cellular,feb,269,1,0,unknown,no
50,unemployed,divorced,tertiary,no,-96,no,no,cellular,jul,576,2,0,unknown,yes
33,blue-collar,single,primary,no,873,yes,no,cellular,apr,41,1,0,unknown,no
46,self-employed,married,secondary,no,440,no,no,cellular,nov,677,1,0,unknown,yes
55,technician,married,secondary,no,51,no,no,cellular,feb,14,8,3,other,no
24,student,single,secondary,no,1091,no,no,cellular,oct,292,5,6,other,yes
36,management,married,tertiary,no,1507,yes,no,unknown,jun,32,3,0,unknown,no
35,self-employed,married,tertiary,no,1048,yes,yes,cellular,apr,234,2,5,failure,no
49,housemaid,married,secondary,no,3659,no,no,cellular,jun,44,2,0,unknown,no
42,blue-collar,married,primary,no,7762,yes,no,cellular,apr,161,1,2,failure,no
41,blue-collar,married,secondary,no,2496,yes,no,cellular,apr,169,1,0,unknown,yes
50,housemaid,married,secondary,no,353,no,no,cellular,jun,132,2,2,success,no
60,retired,married,tertiary,no,2213,no,no,cellular,jun,331,3,0,unknown,no
34,admin.,single,secondary,no,152,yes,no,unknown,may,245,1,0,unknown,no
32,management,single,secondary,no,863,yes,no,cellular,apr,322,1,2,success,yes
35,entrepreneur,single,tertiary,no,1363,yes,no,cellular,may,93,1,12,other,no
27,services,single,secondary,no,497,yes,no,cellular,may,107,5,8,other,no
87,retired,married,primary,no,2510,no,no,telephone,jan,507,2,0,unknown,yes
51,technician,married,secondary,no,-36,no,no,cellular,aug,93,5,0,unknown,no
43,housemaid,single,primary,no,914,yes,no,cellular,may,948,1,0,unknown,yes
42,blue-collar,married,secondary,no,469,yes,yes,cellular,may,326,2,0,unknown,no
24,admin.,single,secondary,no,1716,no,no,cellular,sep,306,1,1,success,yes
44,management,married,tertiary,no,247,no,no,cellular,apr,624,1,0,unknown,yes
21,student,single,unknown,no,27,no,no,unknown,jun,14,1,0,unknown,no
21,student,single,secondary,no,48,no,no,cellular,oct,136,1,0,unknown,yes
33,technician,married,tertiary,no,1536,no,no,cellular,jan,190,1,3,success,yes
43,admin.,single,secondary,no,275,no,no,unknown,may,248,1,0,unknown,no
29,admin.,married,secondary,no,618,yes,no,telephone,nov,114,1,3,success,no
29,admin.,single,secondary,no,-547,yes,no,cellular,feb,109,3,14,failure,no
40,management,married,secondary,no,8474,no,no,unknown,may,258,3,0,unknown,no
37,management,single,secondary,no,917,no,no,unknown,jun,349,1,0,unknown,no
37,blue-collar,married,secondary,no,-149,yes,yes,unknown,may,380,1,0,unknown,no
63,housemaid,married,primary,no,231,no,no,telephone,aug,115,3,0,unknown,yes
49,technician,married,secondary,no,3627,no,no,cellular,jun,162,2,0,unknown,yes
21,blue-collar,single,secondary,no,2179,no,no,cellular,may,137,4,2,success,no
25,services,married,secondary,no,-32,yes,no,cellular,may,53,1,1,failure,no
50,blue-collar,married,secondary,no,-223,no,yes,cellular,jul,630,1,0,unknown,yes
31,services,single,secondary,no,558,no,no,cellular,may,103,1,0,unknown,no
50,services,married,secondary,no,-341,yes,no,cellular,may,185,4,0,unknown,no
57,blue-collar,married,primary,no,3157,no,no,cellular,sep,122,2,2,success,yes
50,technician,divorced,tertiary,no,2114,yes,no,cellular,mar,235,1,0,unknown,yes
51,entrepreneur,married,primary,no,1520,no,no,cellular,feb,156,10,0,unknown,yes
39,management,divorced,tertiary,no,-72,yes,no,unknown,may,393,1,0,unknown,no
